t,x_1,x_2,x_3,u_1,u_2,u_3
0.0,16.015455189745406,15.966503436302794,16.076801766363634,0.0,0.0,0.0
0.0025,18.723582512076085,19.22112893024513,19.54234527227924,0.0,0.0,0.0
0.005,17.98893539747826,18.833998231595963,19.38037776720341,0.0,0.0,0.0
0.0075,18.04278265320479,19.067175886830285,19.980323341274794,0.0,0.0,0.0
0.01,18.07083743498794,19.26482223403584,20.73776669047712,0.0,0.0,0.0
0.0125,18.030087346584175,19.623246480971087,21.542554556605623,0.0,0.0,0.0
0.015,18.09538027328301,19.859269379796,22.25254755573244,0.0,0.0,0.0
0.0175,18.167780536332405,19.956859400325918,23.033658375504377,0.0,0.0,0.0
0.02,18.299922766374216,20.269596037130583,23.847046713699356,0.0,0.0,0.0
0.0225,18.372801990696708,20.29974806038656,24.629291061770285,0.0,0.0,0.0
0.025,18.405736862684364,20.282870668623993,25.381851178048404,0.0,0.0,0.0
0.0275,18.28238759218858,20.475869562806736,26.110768409004166,0.0,0.0,0.0
0.03,18.332641701390486,20.48765950465291,26.887244312056747,0.0,0.0,0.0
0.0325,18.471526125230326,20.38428521642078,27.54231318211825,0.0,0.0,0.0
0.035,18.527628213482096,20.492505075069772,28.421594342154325,0.0,0.0,0.0
0.0375,18.688652227441338,20.552727590534438,29.250523715565123,0.0,0.0,0.0
0.04,18.745010524871983,20.3436593547196,30.011354971208114,0.0,0.0,0.0
0.0425,18.53008498201149,20.0389331819072,30.70337842047529,0.0,0.0,0.0
0.045,18.58007218666095,19.80428202015131,31.497036296182394,0.0,0.0,0.0
0.0475,18.63630104497943,19.53234620167576,32.1862252191131,0.0,0.0,0.0
0.05,18.788693258596517,19.235201892641733,32.92087925002252,0.0,0.0,0.0
0.0525,18.844019541936447,19.015068118643573,33.61198374546762,0.0,0.0,0.0
0.055,18.813708545786078,18.872312905014827,34.21994967384554,0.0,0.0,0.0
0.0575,18.71073082983263,18.54968586272956,34.841099964044716,0.0,0.0,0.0
0.06,18.946064332930835,18.043557960917095,35.48583775859892,0.0,0.0,0.0
0.0625,18.90665815993411,17.565660329266837,36.025180664354075,0.0,0.0,0.0
0.065,18.920056681002713,17.274268760699425,36.58843410960821,0.0,0.0,0.0
0.0675,18.638264656278682,16.715206762380294,37.03936657553108,0.0,0.0,0.0
0.07,18.56291104266384,16.15902277504787,37.47001867848757,0.0,0.0,0.0
0.0725,18.51100493064402,15.635588685075207,37.9754474797707,0.0,0.0,0.0
0.075,18.539701321804806,15.26654357881206,38.604328592611445,0.0,0.0,0.0
0.0775,18.3817229623177,14.748429875838305,39.05406872438754,0.0,0.0,0.0
0.08,18.150450559715075,14.267585234286182,39.32102673708874,0.0,0.0,0.0
0.0825,18.099797941144104,13.75857319591188,39.597094978136525,0.0,0.0,0.0
0.085,18.004720599125775,13.186710910393089,40.131035035674174,0.0,0.0,0.0
0.08750000000000001,17.89128244425701,12.67778477471695,40.46354404060345,0.0,0.0,0.0
0.09,17.75721361919148,12.102331930500336,40.69927284470146,0.0,0.0,0.0
0.0925,17.62291181505926,11.3862816073241,40.97106760312894,0.0,0.0,0.0
0.095,17.40969788306826,10.980226710075662,41.06572680038549,0.0,0.0,0.0
0.0975,17.234115825238018,10.415235113172601,41.24706616934401,0.0,0.0,0.0
0.1,17.236947829354527,9.687929350560221,41.42307044451509,0.0,0.0,0.0
0.10250000000000001,16.991043906135143,9.138703908669626,41.59227674149548,0.0,0.0,0.0
0.105,16.784854657558707,8.648619256536655,41.71215722557349,0.0,0.0,0.0
0.1075,16.473604512430928,8.219535587883161,41.71175057414267,0.0,0.0,0.0
0.11,16.307039838058657,7.3549220436988385,41.78542336388927,0.0,0.0,0.0
0.1125,15.91524054068377,6.739069577825191,41.767636259088256,0.0,0.0,0.0
0.115,15.736647809007707,6.2706128269437995,41.70328783251843,0.0,0.0,0.0
0.11750000000000001,15.701078705234059,5.740520170975189,41.725159165036494,0.0,0.0,0.0
0.12,15.29014949809881,5.107963451879392,41.751201374126836,0.0,0.0,0.0
0.1225,15.089295778771351,4.519869033504142,41.6653366756435,0.0,0.0,0.0
0.125,14.912779815103695,3.974126875531524,41.618964485068176,0.0,0.0,0.0
0.1275,14.651697655017692,3.587790582672953,41.337931906030654,0.0,0.0,0.0
0.13,14.271718407484133,3.176147864646242,41.1222666517448,0.0,0.0,0.0
0.1325,13.972813807922643,2.674749375005487,41.11646631298017,0.0,0.0,0.0
0.135,13.689154493344338,2.0703837631805686,40.91992328904487,0.0,0.0,0.0
0.1375,13.400703085871228,1.6223875243228518,40.570456107688074,0.0,0.0,0.0
0.14,13.060304497673464,1.3093507835061533,40.38662970705101,0.0,0.0,0.0
