t,x_1,x_2,x_3,u_1,u_2,u_3
0.0,17.936787905533212,17.857989925808536,17.967767695941518,0.0,0.0,0.0
0.0025,18.095470629787798,18.283400213258588,18.877318051727794,0.0,0.0,0.0
0.005,17.927440170482413,18.77629340895377,19.557748937731187,0.0,0.0,0.0
0.0075,18.03267468982862,19.220626334765047,20.145110015661547,0.0,0.0,0.0
0.01,18.24121782684901,19.373123276533804,20.697264449699894,0.0,0.0,0.0
0.0125,18.130884726521213,19.65382498716885,21.560424014230588,0.0,0.0,0.0
0.015,18.19225868961403,19.76577530822757,22.320405022858193,0.0,0.0,0.0
0.0175,18.245322812531604,20.12464084140026,23.128263182162726,0.0,0.0,0.0
0.02,18.278125179915975,20.287040140654995,23.976890981109985,0.0,0.0,0.0
0.0225,18.25046163338154,20.255987013521562,24.691327767927504,0.0,0.0,0.0
0.025,18.276414922863417,20.342565104575463,25.400540173916635,0.0,0.0,0.0
0.0275,18.095808974838075,20.518989573238464,26.046226459145057,0.0,0.0,0.0
0.03,18.50925631130134,20.5614509183937,26.758211426504367,0.0,0.0,0.0
0.0325,18.535834657512055,20.297627888816216,27.734230986090274,0.0,0.0,0.0
0.035,18.658707102187254,20.367606012562767,28.387477731562562,0.0,0.0,0.0
0.0375,18.509302244482537,20.28883660092417,29.20466463563452,0.0,0.0,0.0
0.04,18.598047314918936,20.238487402917617,29.870601431254997,0.0,0.0,0.0
0.0425,18.609566758282423,19.91963348916302,30.754247260056108,0.0,0.0,0.0
0.045,18.73264153726982,19.834113367549403,31.334023661012882,0.0,0.0,0.0
0.0475,18.82617621317384,19.553993687844773,32.07439124485453,0.0,0.0,0.0
0.05,18.724759521502033,19.100280562517813,32.76745020141757,0.0,0.0,0.0
0.0525,18.760590250589633,18.946624861733884,33.48927317765441,0.0,0.0,0.0
0.055,18.67738946275588,18.623371602977198,33.954061952239066,0.0,0.0,0.0
0.0575,18.74409621180009,18.44251730343118,34.721172770919964,0.0,0.0,0.0
0.06,18.681992069331486,18.082828991681506,35.467101890608625,0.0,0.0,0.0
0.0625,18.65530198601707,17.657520519323665,35.9585685741274,0.0,0.0,0.0
0.065,18.713881031184282,17.09430309916772,36.62507393135704,0.0,0.0,0.0
0.0675,18.83046308724651,16.817301249052207,37.118825970158916,0.0,0.0,0.0
0.07,18.388825649718036,16.224114643503977,37.604904567530625,0.0,0.0,0.0
0.0725,18.537641524625432,16.0390726002784,38.105989718984304,0.0,0.0,0.0
0.075,18.48392617094058,15.418731187158906,38.57370990090224,0.0,0.0,0.0
0.0775,18.579533284876756,14.785987606951238,38.979977031984724,0.0,0.0,0.0
0.08,18.152782382557934,14.216217777915483,39.422459215844306,0.0,0.0,0.0
0.0825,18.264891480164557,13.782301617919753,39.79298261965564,0.0,0.0,0.0
