t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0,0,0,0,0,0,0,0.0699850195810824
0.01,6.48003294921505e-06,-1.78924034986136e-05,-1.53125405289185e-06,0.00159690724600369,-0.00440597453507169,-0.000381771336622849,0.250702114216203
0.02,4.2113728923629e-05,-0.000116072377827708,-1.02175200813105e-05,0.00623891379793672,-0.0171745461019773,-0.00153921394491459,0.672506571584135
0.03,0.000151360271439012,-0.000416422293675563,-3.76150083719954e-05,0.0169284701589278,-0.0464981516071944,-0.00429458043531644,1.46070533923461
0.04,0.000415195355451604,-0.00114018238984394,-0.000105578856473226,0.0379476736685456,-0.103995026708045,-0.00988963401492162,2.71486318062465
0.05,0.000958865463592123,-0.00262801270443242,-0.000249529935725972,0.0736529598631957,-0.201324925353696,-0.0197558644800903,4.49191204603927
0.06,0.00195745127721662,-0.00535341589759843,-0.000521751588403621,0.129895140239361,-0.354061708856842,-0.0358898388343228,6.79167236230121
0.07,0.00363985632633826,-0.00993146521097718,-0.000994654961456576,0.211139021876921,-0.573663825805249,-0.060249759768359,9.53883263096239
0.08,0.00627719309117138,-0.0170827572616677,-0.00176206437068183,0.321530337982123,-0.870374028867261,-0.0950534694510183,12.5841186695491
0.09,0.0101756533128887,-0.0276118362675404,-0.00293911850015401,0.463031812768294,-1.24801178603925,-0.142416774868322,15.7243460205398
0.1,0.015645701086937,-0.0423175538402468,-0.00466044262435829,0.635541632736643,-1.70420300574932,-0.204591042306601,18.6186055265931
0.11,0.0229686562337793,-0.0618913000270141,-0.00708441878100952,0.83293826296012,-2.21934971801588,-0.283242611665268,20.7644772336696
0.12,0.032356547501965,-0.0868045985282959,-0.0103868485538858,1.04638285615379,-2.76579241596257,-0.3802943339071,21.8338489791834
0.13,0.0439119076755759,-0.117193208291314,-0.01476081401364,1.26517348626308,-3.31022211924546,-0.498265262095222,21.8719476708482
0.14,0.0576439270382332,-0.15289673300927,-0.0204304416542624,1.4797273167249,-3.82246263103925,-0.640070055229041,21.0686325317689
0.15,0.0734706374278835,-0.193466403294847,-0.0276486853009255,1.68282445345913,-4.27906887186549,-0.809045634888124,19.5957135142488
0.16,0.0912476014922617,-0.238251783281034,-0.0366948364254022,1.86894231050944,-4.66224103078105,-1.00748128933361,17.6074943999795
0.17,0.110775849426664,-0.286418398794543,-0.0478885254344704,2.03338853587777,-4.95797915233728,-1.23527115374041,15.2413975173033
0.18,0.131825224115723,-0.33706384034539,-0.0615021712460338,2.17274552995799,-5.15785070733496,-1.48913554581024,12.61866468919
0.19,0.15413873650045,-0.389236570964292,-0.0777498441511024,2.28492334640769,-5.25922269182285,-1.76250092199242,9.84512693011088
0.2,0.177434073573056,-0.441942406146668,-0.0967859591017572,2.36928119497934,-5.26548546247457,-2.04573165600715,7.00784001840788
0.21,0.201431456454547,-0.494251290402454,-0.11866617938634,2.42524059722565,-5.18171677711603,-2.3270602016125,4.02265112515785
0.22,0.225826027075443,-0.54525076227229,-0.14327974800579,2.44745168515035,-5.00360826473543,-2.58914533996121,0.513034849010374
0.23,0.250248206347546,-0.593984858855005,-0.170328836077746,2.42958726766153,-4.72696085143759,-2.81275552753832,-3.83877837481728
0.24,0.27426307174191,-0.639459413962548,-0.199326883687849,2.36503982112588,-4.34927719223536,-2.97757227300215,-8.97544570993114
0.25,0.297371645120954,-0.680641455285418,-0.22960316359834,2.24697874779306,-3.86974893471927,-3.06238188740298,-14.6292610695525
0.26,0.319018295007692,-0.716503940511775,-0.260300825275475,2.07108728903767,-3.29215972208459,-3.05210534854743,-20.485441679659
0.27,0.338606339021278,-0.746152395154981,-0.290360370385979,1.83780082284891,-2.6274364293066,-2.94312980812394,-26.2094109480904
0.28,0.355577253395474,-0.768785530962456,-0.31880906935463,1.54988680172165,-1.88642293094066,-2.73957516423962,-31.4975947514989
0.29,0.369422357576679,-0.783683951332514,-0.344806319091133,1.21224305321648,-1.07893965106325,-2.45319189833822,-36.1243885231671
0.3,0.379682814223927,-0.790210151314364,-0.367643642990117,0.831897779959682,-0.213783563271979,-2.10336107520019,-39.9552326016905
0.31,0.385959187331373,-0.787829452994444,-0.386745249182744,0.417725411495991,0.701201077450601,-1.71544716872206,-42.9327127258911
0.32,0.387962994530253,-0.776092768892995,-0.401854863432123,-0.0221157543797024,1.66344145687823,-1.31548695311253,-45.0689773279245
0.33,0.385471804799743,-0.754454574224781,-0.413092685009627,-0.480072104602396,2.6750422048763,-0.932800878022995,-46.4471246364745
0.34,0.378335728525576,-0.722417651864915,-0.420726274981329,-0.948787245081876,3.73498267394842,-0.58957332359533,-47.20661062322
0.35,0.366480604285792,-0.679547918857907,-0.425158148837156,-1.42114913633381,4.83870816282566,-0.299896522676843,-47.4125832161737
0.36,0.349907998850739,-0.625474426417668,-0.426925776490898,-1.89029009347972,5.97812991646655,-0.0697705608202583,-46.8535536586306
0.37,0.328692564356325,-0.559880759462551,-0.426707765113163,-2.34930737395636,7.14148385209633,0.101666450875516,-45.1752248484938
0.38,0.302979106208649,-0.482589455308726,-0.425143307741436,-2.78611148618268,8.29501449243917,0.229349766193566,-42.2747803029144
0.39,0.273073625831964,-0.394159612486048,-0.422105974842671,-3.18888617110946,9.3729994148883,0.387303965518804,-38.3485801728678
0.4,0.239362452414489,-0.295659001816014,-0.416924000036339,-3.54884875607903,10.3167485593339,0.645489179624945,-33.663527877113
0.41,0.202290432066477,-0.188583911223524,-0.408457368635737,-3.85942097148251,11.0790460772046,1.05661396665967,-28.4559325794087
0.42,0.162360927820214,-0.0748591457368837,-0.395097817647988,-4.11622895075987,11.6241503314674,1.6561353121446,-22.932839006287
0.43,0.120135819604356,0.0431619726534051,-0.374768835913552,-4.31710323016342,11.9277939015804,2.46225861723558,-17.2734893012529
0.44,0.0761933179984945,0.162951843190423,-0.345306212038025,-4.46164507808725,11.9867397869189,3.45170913360533,-11.6308968633897
0.45,0.0310873558457858,0.282189060850899,-0.305365229948028,-4.55056801172196,11.8229693038792,4.54645911897263,-6.13351078343545
0.46,-0.0146344241309433,0.398752078677597,-0.254278833736039,-4.5857361550994,11.4621974616547,5.67177547259304,-0.886948871577431
0.47,-0.0604531068066545,0.51084331574316,-0.192087319757538,-4.56996484656404,10.9348298136037,6.75586385980693,4.02422273537111
0.48,-0.105878504654098,0.616989157150105,-0.119538336631003,-4.50702063877294,10.2759624572494,7.72986871203952,8.53468489131304
0.49,-0.150454574520729,0.716040910395886,-0.0380350310001041,-4.40134740214806,9.52247683748954,8.53833469103941,12.5965562537582
0.5,-0.193778622811638,0.807224008329409,0.0506613444110981,-4.25746533346596,8.70682469431311,9.16992316208424,16.1775988893681
0.51,-0.235493645322921,0.890095235243807,0.144736508017416,-4.0803818152057,7.86185198674398,9.62211831761941,19.2594564307347
0.52,-0.27529232032136,0.964480393312379,0.242479484492502,-3.87508448605423,7.01555034745782,9.90273298888108,21.835940809079
0.53,-0.312917341273258,1.03047319736383,0.342286621393897,-3.64651777996219,6.19080889379532,10.0305103247172,23.9113817204256
0.54,-0.348160081534439,1.08840491947905,0.44268898969206,-3.39955762341273,5.40546100679383,10.0330425351535,25.4990510378078
0.55,-0.380860426531443,1.13872860972033,0.542580041052117,-3.1389339278629,4.67024530577567,9.93720703500333,26.6196724075207
0.56,-0.410907580560113,1.1819932359381,0.641163491724069,-2.86920227648533,3.98942308859782,9.77086184595483,27.3000243054378
0.57,-0.438231030293285,1.21873499881809,0.73786306553592,-2.59462749471995,3.36382153667631,9.55951351828517,27.5716429156536
0.58,-0.462800100014006,1.24947090485726,0.832322430481717,-2.31917745954594,2.79093780842388,9.32599002343446,27.4696293580645
0.59,-0.484623951615534,1.27469876636377,0.924405198721559,-2.04652309948169,2.26493903924999,9.09044075400568,27.0315640582419
0.6,-0.503747188247677,1.29489904600588,1.01415589153178,-1.77993930817481,1.77749676956015,8.87018465177924,26.2965294413708
0.61,-0.52024202963302,1.31043443211952,1.10176990945259,-1.52198486322597,1.32242247844654,8.67655452752718,25.3042406564852
