t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0,0,0,0,0,0,0,2.36285460587019e-07
0.01,-4.37804922286003e-09,1.19299877622739e-08,1.10493683021466e-09,-1.66777432200701e-07,4.59784191542136e-07,4.35034485919072e-08,-1.08746742367737e-06
0.02,-9.94724317451979e-09,2.72033656898542e-08,2.36393056346047e-09,-4.08082888967587e-07,1.13238295348046e-06,9.98850140237187e-08,-1.05110177527292e-05
0.03,-1.18801345327066e-08,3.27745991123418e-08,2.48048872889506e-09,-6.50306443933362e-07,1.81484128283345e-06,1.47477089504848e-07,-4.3115322515572e-05
0.04,-1.40425869792918e-08,3.92372778506228e-08,2.54109574268264e-09,-1.24919670033493e-06,3.47324852914756e-06,2.86148163259623e-07,-0.00012452610924519
0.05,-2.89937752002903e-08,8.08241162168677e-08,6.01521290799397e-09,-2.98986079101338e-06,8.24273839449716e-06,7.37302818527284e-07,-0.000292028438574063
0.06,-7.79861848858607e-08,2.15406953014531e-07,1.87552784150063e-08,-7.086764378414e-06,1.94274889334846e-05,1.84388173356198e-06,-0.000591721047030066
0.07,-1.90965612730306e-07,5.24496751538355e-07,4.89967073409038e-08,-1.51837316545863e-05,4.15007225532402e-05,4.0703616816328e-06,-0.00106721893686661
0.08,-4.07036663689969e-07,1.11356921621258e-06,1.08446866761677e-07,-2.92017494864261e-05,7.96621418391374e-05,7.98506290165206e-06,-0.00174596929002576
0.09,-7.92945807457943e-07,2.16106368688749e-06,2.19199902836298e-07,-5.08424324325721e-05,0.000138341540194632,1.42623546411032e-05,-0.00263673175837942
0.1,-1.449782649286e-06,3.94359984281879e-06,4.08502422822083e-07,-8.26733246328437e-05,0.000224323716770858,2.384109114424e-05,-0.00373884740202636
0.11,-2.49270134948559e-06,6.77012320150084e-06,7.13138918514419e-07,-0.000126917844887255,0.000343304103322331,3.76964826156106e-05,-0.00504641733874411
0.12,-4.049624228096e-06,1.09770101264202e-05,1.18040576846564e-06,-0.000185270658076807,0.000499357655315204,5.68119328370765e-05,-0.00653520261037016
0.13,-6.26124176488438e-06,1.69280678270556e-05,1.86811123798501e-06,-0.000258897675163488,0.000694938851927268,8.21790391678133e-05,-0.00814564359780361
0.14,-9.28101259934573e-06,2.5014534358878e-05,2.84457547913877e-06,-0.000348436053190275,0.000930881696047951,0.00011479759254431,-0.00978507255076367
0.15,-1.32751635307029e-05,3.56550786233504e-05,4.18863053075005e-06,-0.00045399419528113,0.00120639971427832,0.000155675577480368,-0.0113471970017791
0.16,-1.83790848563746e-05,4.91589874652416e-05,5.99162937257423e-06,-0.000573962166377101,0.00151597268135638,0.000205339545266319,-0.0127305099107282
0.17,-2.47333719594452e-05,6.58428781032205e-05,8.35402519839756e-06,-0.000705936209411719,0.00185159937907992,0.000264349852381241,-0.0138537945386696
0.18,-3.24839129600235e-05,8.60423395868966e-05,1.13739790598568e-05,-0.000847859935624011,0.00220607772214099,0.000333478351309017,-0.0146699054693709
0.19,-4.17262994083404e-05,0.000109940096236283,1.51467117108546e-05,-0.00099690696500712,0.00257023393818844,0.000413106247872155,-0.0151586476094726
0.2,-5.25058262847491e-05,0.000137566007641797,1.97645036075595e-05,-0.0011494809263083,0.00293292256782788,0.000503224101231795,-0.0152900043528214
0.21,-6.4817491999725e-05,0.000168797068664259,2.53166949084063e-05,-0.00130121545702894,0.00328102646462174,0.000603431823887701,-0.0149885247681234
0.22,-7.86059983938656e-05,0.000203357409434893,3.18896854740953e-05,-0.00144697420342453,0.00359945679508922,0.000712938681678268,-0.0141365254101843
0.23,-9.37657507378906e-05,0.000240818295355326,3.95669348675932e-05,-0.00158085082050468,0.00387115303870631,0.000830563293780516,-0.0126139584721441
0.24,-0.000110140857732642,0.00028059812709759,4.84289623541323e-05,-0.00169616897203311,0.00407708298790579,0.000954733632710096,-0.0103405157201519
0.25,-0.000127525131509084,0.00032196244060412,5.8553346901211e-05,-0.00178548233052769,0.00419624274807722,0.00108348702432129,-0.00730047631635237
0.26,-0.000145661788303192,0.000364023807187873,7.0013943166881e-05,-0.00184057403449182,0.00420566167817424,0.00121446467504298,-0.00355758748137296
0.27,-0.000164182079784692,0.000405656108611463,8.27818973285001e-05,-0.00185385306212502,0.00408522901506792,0.00134440985112884,0.000740262972770455
0.28,-0.00018261026985977,0.000445415813302784,9.68129702119635e-05,-0.00182231315280512,0.00382828558424972,0.00147036831018014,0.00538611795674357
0.29,-0.000200477871994384,0.00048185691284743,0.000112081968311836,-0.00174455951204247,0.00343274205461357,0.00158967624309327,0.0101711588241252
0.3,-0.000217321093761721,0.000513586367211894,0.00012852243000486,-0.00161988734471854,0.00289892722173763,0.00169944174666121,0.014937326762909
0.31,-0.000232680836842192,0.000539264104743571,0.000146026625549956,-0.0014482818550859,0.00222958800788432,0.0017965448235736,0.0195914873472766
0.32,-0.000246102697023438,0.000557603022170757,0.000164445557088221,-0.00123041824676824,0.00142988946200028,0.00187763738241667,0.0240894033838113
0.33,-0.000257136964200326,0.000567368984602647,0.00018358895864293,-0.000967661722760361,0.000507414759716405,0.0019391432376733,0.0284151147407957
0.34,-0.000265338622374952,0.00056738082552934,0.000203225296119538,-0.000662067485428159,-0.000527834796652165,0.00197725810972299,0.032566538217451
0.35,-0.000270275835168542,0.000556535570221584,0.000223083108800186,-0.000316455901083137,-0.00166329140125942,0.00198804203044338,0.0365455417644021
0.36,-0.000271606449282179,0.000534029045995723,0.000242872609861552,6.6398628051066e-05,-0.0028867944775658,0.00196812422678527,0.040348102048664
0.37,-0.000268901795000265,0.000498828213752011,0.000262267452456878,0.000486606296383888,-0.00419347593726694,0.00191277468189615,0.0439508048940136
0.38,-0.00026176020799683,0.000450025833938594,0.000280903293310154,0.000942861578044336,-0.00557435091980165,0.00181753761574988,0.0472919230954316
0.39,-0.000249850109059252,0.000386970582643273,0.000298382067720712,0.0014316454451928,-0.00701436789084525,0.0016787448147309,0.0502469270116372
