Var1,Var2
0,-1.50371839125852e-09
0.001,-6.38938574752301e-09
0.002,-1.41492242150788e-08
0.003,-1.45831202614227e-08
0.004,1.42165122586305e-08
0.005,9.90980987871509e-08
0.006,2.60843341329736e-07
0.007,5.0681395013135e-07
0.008,8.32303674658211e-07
0.009,1.22881219941691e-06
0.01,1.69016270268759e-06
0.011,2.20949099763744e-06
0.012,2.77147929112249e-06
0.013,3.34920121493745e-06
0.014,3.90673023317163e-06
0.015,4.40203060117159e-06
0.016,4.78962688019833e-06
0.017,5.02448567050972e-06
0.018,5.06233724903093e-06
0.019,4.85518619096532e-06
0.02,4.34932776515597e-06
0.021,3.48793534093371e-06
0.022,2.21340289222014e-06
0.023,4.69054237044413e-07
0.024,-1.79806748134792e-06
0.025,-4.634951092268e-06
0.026,-8.08168151696748e-06
0.027,-1.21721550061252e-05
0.028,-1.69390636914754e-05
0.029,-2.24225089563119e-05
0.03,-2.86762520258589e-05
0.031,-3.57678544894646e-05
0.032,-4.3775443865854e-05
0.033,-5.27846317081615e-05
0.034,-6.28853173750476e-05
0.035,-7.41679703976589e-05
0.036,-8.67215224193144e-05
0.037,-0.000100634250006588
0.038,-0.000115994917933318
0.039,-0.000132891578413666
0.04,-0.000151411659193157
0.041,-0.000171645891668842
0.042,-0.000193691865319774
0.043,-0.000217656033114739
0.044,-0.000243656866087336
0.045,-0.000271827752209702
0.046,-0.000302317766641051
0.047,-0.000335291208070278
0.048,-0.000370924903839256
0.049,-0.000409400662067176
0.05,-0.000450893767909334
0.051,-0.000495562926671023
0.052,-0.000543547078519183
0.053,-0.000594970683876499
0.054,-0.000649954300251555
0.055,-0.000708621934803737
0.056,-0.000771097267482061
0.057,-0.000837492979402704
0.058,-0.000907905717699113
0.059,-0.00098241929627112
0.06,-0.00106110729554272
0.061,-0.00114403155855593
0.062,-0.00123124171285249
0.063,-0.00132277659626
0.064,-0.00141866323233869
0.065,-0.0015189143756407
0.066,-0.00162353014091211
0.067,-0.00173250476074748
0.068,-0.00184583264216366
0.069,-0.00196350700882419
0.07,-0.00208551308949159
0.071,-0.00221182561602363
0.072,-0.00234241493690295
0.073,-0.00247725576028715
0.074,-0.00261633106501082
0.075,-0.00275962943391061
0.076,-0.00290713913446157
0.077,-0.00305884258143503
0.078,-0.00321471223742813
0.079,-0.00337470828116728
0.08,-0.00353878017100792
0.081,-0.00370687464463232
0.082,-0.00387894675732595
0.083,-0.00405496435666524
0.084,-0.00423490285173587
0.085,-0.00441873854998507
0.086,-0.00460644796071293
0.087,-0.00479801194280105
0.088,-0.00499342077269248
0.089,-0.00519267771557236
0.09,-0.00539579902378096
0.091,-0.0056028100941776
0.092,-0.00581374035384027
0.093,-0.0060286182754914
0.094,-0.00624746583712367
0.095,-0.00647029379985213
0.096,-0.00669710062067095
0.097,-0.00692787489989035
0.098,-0.00716259902849424
0.099,-0.00740125106494681
0.1,-0.00764380156400589
0.101,-0.00789020699964562
0.102,-0.00814040712876903
0.103,-0.00839432860984252
0.104,-0.00865188850015979
0.105,-0.00891299426038889
0.106,-0.0091775448472317
0.107,-0.00944543527675958
0.108,-0.00971656104548432
0.109,-0.00999081916154586
0.11,-0.0102681042976406
0.111,-0.0105483009622138
0.112,-0.0108312773498151
0.113,-0.0111168855911899
0.114,-0.0114049661504161
0.115,-0.0116953510428988
0.116,-0.0119878644516177
0.117,-0.0122823250973681
0.118,-0.012578554859229
0.119,-0.0128763908187755
0.12,-0.0131756921060516
0.121,-0.0134763359369431
0.122,-0.0137782054179678
0.123,-0.0140811783482861
0.124,-0.0143851248462648
0.125,-0.0146899112041176
0.126,-0.0149954019983592
0.127,-0.0153014606064801
0.128,-0.015607953715918
0.129,-0.0159147580001818
0.13,-0.0162217622305656
0.131,-0.0165288647353096
0.132,-0.0168359715996643
0.133,-0.0171429966765878
0.134,-0.0174498602330019
0.135,-0.0177564861942839
0.136,-0.0180627998525193
0.137,-0.0183687265259278
0.138,-0.018674193256082
0.139,-0.0189791349114744
0.14,-0.0192835008645122
0.141,-0.0195872568197628
0.142,-0.0198903801823483
0.143,-0.0201928529775075
0.144,-0.0204946569613334
0.145,-0.0207957693041434
0.146,-0.0210961563582243
0.147,-0.0213957692623758
0.148,-0.0216945450039804
0.149,-0.0219924111142839
0.15,-0.0222892903517114
0.151,-0.0225851035851442
0.152,-0.0228797723721957
0.153,-0.0231732235382252
0.154,-0.0234653953933685
0.155,-0.0237562430735914
0.156,-0.0240457392843745
0.157,-0.0243338682584505
0.158,-0.0246206169466669
0.159,-0.0249059699741357
0.16,-0.0251899093913002
0.161,-0.0254724162256123
0.162,-0.0257534715967544
0.163,-0.026033055903334
0.164,-0.026311146428876
0.165,-0.0265877157189153
0.166,-0.0268627313431552
0.167,-0.0271361561462924
0.168,-0.0274079495945273
0.169,-0.0276780714237217
0.17,-0.0279464875972259
0.171,-0.0282131761547484
0.172,-0.0284781283640767
0.173,-0.0287413445246483
