t,s,phi1,phi2,phi3,Ds,Dphi1,Dphi2,Dphi3,u
0,0,0,0,0,0,0,0,0,0.0164760646298059
0.005,2.8458417470407e-07,-7.86711887230851e-07,-6.99392505682937e-08,-4.99397949253441e-09,0.000129436810066214,-0.000357682429494618,-3.19722003944546e-05,-2.2529549766511e-06,0.0353282902170256
0.01,1.44884105503959e-06,-4.00048360666613e-06,-3.61367909740302e-07,-2.50382295718458e-08,0.000355472405630021,-0.000980889131158306,-8.93893857203247e-05,-6.07322595632848e-06,0.0541805158042453
0.015,4.04427106534263e-06,-1.11570879519311e-05,-1.01975717918348e-06,-6.90472734074168e-08,0.00071588660698316,-0.00197264248266213,-0.000183020427913756,-1.20905101924858e-05,0.0934640394370848
0.02,8.91221878130859e-06,-2.45613083766129e-05,-2.27435092255284e-06,-1.50961341586682e-07,0.00127092642713357,-0.00349712323365376,-0.000330100512350011,-2.13475760757499e-05,0.132747563069924
0.025,1.72159503515159e-05,-4.73924572924973e-05,-4.44919127552123e-06,-2.90363373648808e-07,0.00209462933769698,-0.00575549761424551,-0.000552381287621981,-3.5154278265919e-05,0.199334071276936
0.03,3.04648883980401e-05,-8.37685878883386e-05,-7.97192516149258e-06,-5.12897942517811e-07,0.00326648833546046,-0.00896268835553992,-0.000874260693059932,-5.49515581246023e-05,0.265920579483947
0.035,5.05419339645467e-05,-0.000138812216344571,-1.33899636936551e-05,-8.51194426990789e-07,0.00484162990886459,-0.0132645178363328,-0.00131583861862153,-8.18199383994686e-05,0.363928681878326
0.04,7.96570317135402e-05,-0.000218512242862078,-2.13678981652379e-05,-1.34490084150999e-06,0.00689295449625562,-0.0188542237976035,-0.00190317751008226,-0.000117279238683469,0.461936784272706
0.045,0.000120436568666798,-0.000329958176549512,-3.27225980048043e-05,-2.04229537801251e-06,0.00951723175005155,-0.0259886126128362,-0.00267042545677729,-0.000163462692521311,0.590641402214913
0.05,0.000175934370570743,-0.000481361281607475,-4.84338351855955e-05,-3.00168250833805e-06,0.0127958676907898,-0.0348794428406599,-0.00365033793553258,-0.000222430602417657,0.719346020157121
0.055,0.000249549886966594,-0.000681824261434651,-6.96273320590024e-05,-4.29082076129186e-06,0.0167708060427892,-0.0456269173104751,-0.00486822478869457,-0.000295762135774202,0.87157980648827
0.06,0.000344917065585114,-0.000941011004728781,-9.75685862960892e-05,-5.98692462641717e-06,0.0215016798215414,-0.0583774885916802,-0.00635600443907441,-0.000385706183047944,1.02381359281942
0.065,0.000465909412014678,-0.0012691376833691,-0.00013368431754711,-8.1792677367098e-06,0.0270327586381677,-0.0732321335192553,-0.008144381324781,-0.000494654720768036,1.1889118765295
0.07,0.000616625628852762,-0.0016769182658101,-0.000179570888469751,-1.09715340906697e-05,0.0333928754859024,-0.0902462431490987,-0.0102627148424135,-0.000625164183644923,1.35401016023959
0.075,0.000801240363440796,-0.00217515811523023,-0.000236951504963,-1.44790357301148e-05,0.0405937226985117,-0.109425221958901,-0.0127382470657333,-0.000779951223248837,1.5241966298699
0.08,0.00102395768455293,-0.002774653273389,-0.000307641605480342,-1.88236230851814e-05,0.0486406161718904,-0.130754038196371,-0.0155989282138216,-0.000962097055477861,1.69438309950021
0.085,0.00128904249288695,-0.00348618082605344,-0.000393635338467606,-2.41506297164191e-05,0.0575428153983207,-0.154225955206873,-0.0188756305608183,-0.0011753754957171,1.86826497000137
0.09,0.00160082059141971,-0.00432049412394306,-0.000497109631272971,-3.06297240627933e-05,0.0673138088772698,-0.179843338131669,-0.022602194961142,-0.00142426508772685,2.04214684050253
0.095,0.00196367868540713,-0.00528832278272986,-0.000620424190146969,-3.84549094416857e-05,0.0779713141153894,-0.207617653907913,-0.0268154308494894,-0.00171394910364258,2.22277598167736
0.1,0.00238208662856299,-0.00640041705381503,-0.000766140248278791,-4.78491666437639e-05,0.0895380089532007,-0.237571508572727,-0.0315552670122189,-0.00205036847812889,2.40340512285218
0.105,0.00286067237616652,-0.00766773349885817,-0.000937050911288223,-5.90760165326996e-05,0.102039510492629,-0.269733123454522,-0.036864160335105,-0.0024402739669804,2.59547886387813
0.11,0.00340405557961389,-0.00910115276731633,-0.00113599845901362,-7.23963972912502e-05,0.115496878812011,-0.304115098168189,-0.0427858867739409,-0.00289075182103037,2.78755260490408
0.115,0.00401709287305504,-0.0107119378035152,-0.00136611162103202,-8.81207708960504e-05,0.129942346227082,-0.340757675085732,-0.0493694662594117,-0.00341000336579833,2.99708469726977
0.12,0.00470491608234533,-0.0125118065076189,-0.00163084111777293,-0.000106617367117687,0.145421205577964,-0.37973396594338,-0.0566695959217467,-0.0040074527112224,3.20661678963546
0.125,0.00547293222504555,-0.0145129317356301,-0.00193395966051835,-0.000128312183520699,0.16199181022916,-0.421149951841589,-0.0647466500907195,-0.00469374675165922,3.44024906066978
0.13,0.00632682351042186,-0.0167279412993899,-0.00227956195140272,-0.000153688985463577,0.179725574069562,-0.46514448324504,-0.0736666802956477,-0.005480755165884,3.67388133170411
0.135,0.00727254733944588,-0.0191699179665781,-0.00267206468341299,-0.000183289306098764,0.198706971512441,-0.511889279982642,-0.0835014152653931,-0.0063815704170905,3.93558714141824
0.14,0.00831634548157351,-0.0218523859503313,-0.00311624274158827,-0.000217724372430786,0.219029097966166,-0.561576313120376,-0.0943274673528201,-0.00741061752676732,4.19729295113236
0.145,0.00946501798604908,-0.0247899080864855,-0.00361743368109685,-0.000257735347806887,0.240740567307955,-0.614267580628024,-0.106216501332153,-0.00858374302942234,4.48481617917233
0.15,0.0107258661276197,-0.027998549380721,-0.00418097637394042,-0.000304012934321239,0.263887179299108,-0.670013747837986,-0.119242851650485,-0.0099163594359188,4.77233940721229
0.155,0.0121062863452246,-0.0314942181759522,-0.00481258121524847,-0.000357342861237279,0.288512665290321,-0.728854620312336,-0.133484727693964,-0.0114258154794021,5.07693782792561
0.16,0.0136137471013139,-0.0352924758484888,-0.00551843506246898,-0.000418642519546684,0.314651037676808,-0.790797237676548,-0.149022941470812,-0.0131318365409094,5.38153624863893
0.165,0.0152557888818491,-0.0394085368080359,-0.00630520123536846,-0.000488960961969362,0.3423265898983,-0.85581587361949,-0.165940907611326,-0.01505652464937,5.69218904953465
0.17,0.0170400241963027,-0.043857268497694,-0.00718001951603194,-0.000569478902953458,0.371553896439043,-0.923852035893433,-0.184324643367878,-0.0172243584816051,6.00284185043037
0.175,0.018974137577658,-0.0486531913939589,-0.00815050614886293,-0.000661508718675349,0.402337812827804,-0.994814466314041,-0.204262768614916,-0.0196621933623277,6.31173391753674
0.18,0.0210658855824098,-0.0538104790067215,-0.00922475384058347,-0.000766494447039649,0.434673475637861,-1.06857914076038,-0.225846505848964,-0.0223992612641429,6.62062598464311
0.185,0.0233230967905637,-0.0593429578792683,-0.0104113317602341,-0.000886011787679206,0.468546302487015,-1.14498926917491,-0.249169680188619,-0.0254671708075478,6.92502012048231
0.19,0.0257535976482271,-0.0652638724937658,-0.011719283088276,-0.00102179826248927,0.503935288250811,-1.22386465277344,-0.274329090630668,-0.0289004045558848,7.22941425632152
0.195,0.0283647651520173,-0.0715845950533749,-0.0131580263483837,-0.00117586856540734,0.540837166785953,-1.30506761757338,-0.301431471466417,-0.0327391905929176,7.52840675092749
0.2,0.0311642083672247,-0.0783167812268247,-0.0147374126964628,-0.00135022496554335,0.579234396149426,-1.38841033862852,-0.330592341444409,-0.0370252965684619,7.82739924553345
0.205,0.0341594137810781,-0.0854709622746361,-0.0164679298292776,-0.00154713522244951,0.61909997077751,-1.47367261881438,-0.36192959086563,-0.0418050285957886,8.11711726466648
0.21,0.0373576443360304,-0.0930562029108434,-0.0183607146460037,-0.00176918440985485,0.660401095725987,-1.56061268557682,-0.395563290805288,-0.0471299478323674,8.4068352837995
0.215,0.0407659394297588,-0.101080101302994,-0.0204275532482275,-0.00201927491566516,0.703099186670144,-1.64896719093205,-0.431615693112817,-0.0530568704798667,8.67966835019053
0.22,0.0443911149151651,-0.10954878907215,-0.0226808809399465,-0.00230062644196306,0.747149869904772,-1.7384512114666,-0.470211230411869,-0.0596478677841537,8.95250141658157
0.225,0.0482397631003748,-0.118466931292884,-0.0251337822275694,-0.00261677600500796,0.792502982344166,-1.82875824833738,-0.51147651610032,-0.0669702660352941,9.20104946514229
0.23,0.0523182527487382,-0.127837726493284,-0.0277999908199159,-0.00297157793523606,0.839102571522124,-1.91956022727162,-0.555540344350268,-0.0750966465675525,9.44959751370301
0.235,0.056632684986792,-0.137662818573722,-0.0306938316365145,-0.00336920804379461,0.886889053603889,-2.01051467157201,-0.602532661697807,-0.0841046112995597,9.66994728240578
0.24,0.061188119480131,-0.147940796728114,-0.0338291318202979,-0.00381431805057686,0.935847338393835,-2.10141887796968,-0.652567733291601,-0.0940742494743899,9.89029705110854
0.245,0.0659908317715971,-0.15867156879124,-0.0372223240321403,-0.00431197604097448,0.98588007819443,-2.19179894066447,-0.705789787875744,-0.105102016485847,10.0780569649477
0.25,0.0710465676475688,-0.169852489713575,-0.0408906459186564,-0.00486767347220741,1.03682587011532,-2.28100972917034,-0.762317595571657,-0.117286898375967,10.2658168787868
0.255,0.0763596736219702,-0.181476578128133,-0.044851058893838,-0.0054873751851826,1.08849322103237,-2.36835278030476,-0.822222522628091,-0.130725020717165,10.392947777932
0.26,0.0819330969362704,-0.193532516350475,-0.0491202481390538,-0.00617751940449394,1.14066054758764,-2.45307629818875,-0.885528531421124,-0.145509648612237,10.5200786770772
0.265,0.0877683855594841,-0.206004650378701,-0.0537146226030503,-0.00694501773842235,1.19307617618943,-2.53437515424685,-0.95221218045416,-0.161731186694358,10.5273083238975
0.27,0.093865688188171,-0.218872989893457,-0.0586503150019506,-0.00779725517893568,1.2454583430122,-2.61139088720716,-1.02220262435793,-0.179477179127085,10.5345379707178
0.275,0.100223754246436,-0.232113208257931,-0.0639431818192553,-0.00874209010168881,1.29749519399668,-2.6832117031013,-1.0953816138905,-0.198832309604356,10.3818007661811
0.28,0.10683993388593,-0.245696642517852,-0.0696088033058422,-0.00978785426602358,1.34884478484976,-2.74887247526443,-1.17158349593725,-0.219878401350486,10.2290635616445
0.285,0.113710177985848,-0.259590293401496,-0.0756624834799661,-0.0109433528149688,1.39913508104457,-2.80735474433524,-1.25059521351091,-0.242694417120173,9.92650354037124
0.29,0.120829254210393,-0.273759412951947,-0.0821172158670832,-0.0122174540127741,1.44795390730594,-2.85758404325481,-1.33214697885662,-0.267338395130409,9.62394351909799
0.295,0.128188816298481,-0.288161663933444,-0.0889832561735374,-0.0136192944533561,1.49494262501837,-2.89875178428448,-1.41584494412297,-0.293830869384148,9.20115662979171
